Date,TotalSamples
2020-04-17,1403.0
2020-04-24,2679.0
2020-04-27,2848.0
2020-05-01,3754.0
2020-05-16,6677.0
2020-05-19,6965.0
2020-05-20,7082.0
2020-05-21,7167.0
2020-05-22,7263.0
2020-05-23,7327.0
2020-05-24,7327.0
2020-05-25,7363.0
2020-05-26,7448.0
2020-05-27,7499.0
2020-05-28,7519.0
2020-05-29,7567.0
2020-05-30,7567.0
2020-05-31,7706.0
2020-06-01,7805.0
2020-06-02,8086.0
2020-06-03,8295.0
2020-06-04,8413.0
2020-06-05,8694.0
2020-06-06,9037.0
2020-06-07,9242.0
2020-06-08,9341.0
2020-06-09,9859.0
2020-06-10,10010.0
2020-06-11,10226.0
2020-06-12,10697.0
2020-06-13,10955.0
2020-06-14,11356.0
2020-06-15,11518.0
2020-06-16,11809.0
2020-06-17,12239.0
2020-06-18,12622.0
2020-06-19,12930.0
2020-06-20,13320.0
2020-06-21,13434.0
2020-06-22,13511.0
2020-06-23,13723.0
2020-06-24,13994.0
2020-06-25,14277.0
2020-06-26,14583.0
2020-06-27,14851.0
2020-06-28,15094.0
2020-06-29,15410.0
2020-06-30,15709.0
2020-07-01,15982.0
2020-07-02,16278.0
2020-07-03,16626.0
2020-07-04,16832.0
2020-07-05,16909.0
2020-07-06,17095.0
2020-07-07,17381.0
2020-07-08,17643.0
2020-07-09,17852.0
2020-07-10,18046.0
2020-07-11,18315.0
2020-07-12,18447.0
2020-07-13,18609.0
2020-07-14,18884.0
2020-07-15,19061.0
2020-07-16,19227.0
2020-07-17,19421.0
2020-07-18,19671.0
2020-07-19,19904.0
2020-07-20,20301.0
2020-07-21,20642.0
2020-07-22,21043.0
2020-07-23,21310.0
2020-07-24,21743.0
2020-07-25,21965.0
2020-07-26,22049.0
2020-07-27,22548.0
2020-07-28,22925.0
2020-07-29,23217.0
2020-07-30,23615.0
2020-07-31,24038.0
2020-08-01,24308.0
2020-08-02,24580.0
2020-08-03,25034.0
2020-08-04,25492.0
2020-08-05,25826.0
2020-08-06,26516.0
2020-08-07,26915.0
2020-08-08,27073.0
2020-08-09,27103.0
2020-08-10,27346.0
2020-08-11,27455.0
2020-08-12,27744.0
2020-08-13,27973.0
2020-08-14,28129.0
2020-08-15,28209.0
2020-08-16,28229.0
2020-08-17,28672.0
2020-08-18,28937.0
2020-08-19,29303.0
2020-08-20,29487.0
2020-08-21,29573.0
2020-08-22,29888.0
2020-08-23,30278.0
2020-08-24,30513.0
2020-08-25,31082.0
2020-08-26,31646.0
2020-08-27,31830.0
2020-08-28,32100.0
2020-08-29,32407.0
2020-08-30,32674.0
2020-08-31,33485.0
2020-09-01,35104.0
2020-09-02,36136.0
2020-09-03,37075.0
2020-09-04,37825.0
2020-09-05,38574.0
2020-09-06,39205.0
2020-09-07,39995.0
2020-09-08,41039.0
2020-09-09,41776.0
2020-09-10,42792.0
2020-09-11,43680.0
2020-09-12,44570.0
2020-09-13,45279.0
2020-09-14,45987.0
2020-09-15,46823.0
2020-09-16,47794.0
2020-09-17,48861.0
2020-09-18,50035.0
2020-09-19,50681.0
2020-09-20,51262.0
2020-09-21,52220.0
2020-09-22,52845.0
2020-09-23,53591.0
2020-09-24,52992.0
2020-09-25,55169.0
2020-09-26,56059.0
2020-09-27,56661.0
2020-09-28,57343.0
2020-09-29,58135.0
2020-09-30,58763.0
2020-10-01,59676.0
2020-10-02,60437.0
2020-10-03,61231.0
2020-10-04,62103.0
2020-10-05,63009.0
2020-10-06,63790.0
2020-10-07,65111.0
2020-10-08,66244.0
2020-10-09,67332.0
2020-10-10,68464.0
2020-10-11,69146.0
2020-10-12,69932.0
2020-10-13,70780.0
2020-10-14,71624.0
2020-10-15,72525.0
2020-10-16,73363.0
2020-10-17,74277.0
2020-10-18,75030.0
2020-10-19,75977.0
2020-10-20,77200.0
2020-10-21,78303.0
2020-10-22,79301.0
2020-10-23,80768.0
2020-10-24,81880.0
2020-10-25,82626.0
2020-10-26,83115.0
2020-10-27,84308.0
2020-10-28,85378.0
2020-10-29,86715.0
2020-10-30,87789.0
2020-10-31,88453.0
2020-11-01,89559.0
2020-11-02,90901.0
2020-11-03,92249.0
2020-11-04,93406.0
2020-11-05,94639.0
2020-11-06,96214.0
2020-11-07,97603.0
2020-11-08,98812.0
2020-11-09,100025.0
2020-11-10,101226.0
2020-11-11,102433.0
2020-11-12,103599.0
2020-11-13,104785.0
2020-11-14,105699.0
2020-11-15,106734.0
2020-11-16,108080.0
2020-11-17,109646.0
2020-11-18,111166.0
2020-11-19,112792.0
2020-11-20,114392.0
2020-11-21,115968.0
2020-11-22,117093.0
2020-11-23,118654.0
2020-11-24,120324.0
2020-11-25,121931.0
2020-11-26,123165.0
2020-11-27,124832.0
2020-11-28,126331.0
2020-11-29,127912.0
2020-11-30,129389.0
2020-12-01,131080.0
2020-12-02,132784.0
2020-12-03,134355.0
2020-12-04,135952.0
2020-12-05,137648.0
2020-12-06,139326.0
2020-12-07,140961.0
2020-12-08,142667.0
2020-12-09,144401.0
2020-12-10,146143.0
2020-12-11,147806.0
2020-12-12,149926.0
2020-12-13,152004.0
2020-12-14,153685.0
2020-12-15,155454.0
2020-12-16,157242.0
2020-12-17,159027.0
2020-12-18,160856.0
2020-12-19,162821.0
2020-12-20,165024.0
2020-12-21,166845.0
2020-12-22,168769.0
2020-12-23,170666.0
2020-12-24,172756.0
