Date,ConfirmedIndianNational
2020-01-30,1
2020-01-31,1
2020-02-01,2
2020-02-02,3
2020-02-03,3
2020-02-04,3
2020-02-05,3
2020-02-06,3
2020-02-07,3
2020-02-08,3
2020-02-09,3
2020-02-10,3
2020-02-11,3
2020-02-12,3
2020-02-13,3
2020-02-14,3
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,3
2020-02-22,3
2020-02-23,3
2020-02-24,3
2020-02-25,3
2020-02-26,3
2020-02-27,3
2020-02-28,3
2020-02-29,3
2020-03-01,3
2020-03-02,1
2020-03-02,3
2020-03-02,1
2020-03-03,1
2020-03-03,0
2020-03-03,3
2020-03-03,1
2020-03-04,6
2020-03-04,3
2020-03-04,0
2020-03-04,1
2020-03-04,1
2020-03-04,1
2020-03-05,2
2020-03-05,0
2020-03-05,3
2020-03-05,1
2020-03-05,1
2020-03-05,7
2020-03-06,3
2020-03-06,0
2020-03-06,3
2020-03-06,1
2020-03-06,7
2020-03-06,1
2020-03-07,3
2020-03-07,7
2020-03-07,2
2020-03-07,1
2020-03-07,1
2020-03-07,3
2020-03-07,0
2020-03-07,1
2020-03-08,2
2020-03-08,1
2020-03-08,1
2020-03-08,1
2020-03-08,8
2020-03-08,0
2020-03-08,3
2020-03-08,7
2020-03-09,2
2020-03-09,1
2020-03-09,9
2020-03-09,2
2020-03-09,1
2020-03-09,1
2020-03-09,1
2020-03-09,1
2020-03-09,1
2020-03-09,7
2020-03-09,0
2020-03-09,4
2020-03-10,7
2020-03-10,2
2020-03-10,4
2020-03-10,0
2020-03-10,4
2020-03-10,15
2020-03-10,5
2020-03-10,1
2020-03-10,1
2020-03-10,1
2020-03-10,1
2020-03-10,1
2020-03-11,2
2020-03-11,5
2020-03-11,0
2020-03-11,17
2020-03-11,1
2020-03-11,1
2020-03-11,9
2020-03-11,2
2020-03-11,1
2020-03-11,1
2020-03-11,1
2020-03-11,4
2020-03-12,6
2020-03-12,0
2020-03-12,17
2020-03-12,1
2020-03-12,1
2020-03-12,10
2020-03-12,3
2020-03-12,1
2020-03-12,1
2020-03-12,1
2020-03-12,4
2020-03-12,11
2020-03-12,1
2020-03-13,6
2020-03-13,0
2020-03-13,19
2020-03-13,1
2020-03-13,1
2020-03-13,10
2020-03-13,3
2020-03-13,1
2020-03-13,1
2020-03-13,1
2020-03-13,6
2020-03-13,14
2020-03-13,1
2020-03-14,7
2020-03-14,0
2020-03-14,19
2020-03-14,1
2020-03-14,1
2020-03-14,11
2020-03-14,3
2020-03-14,1
2020-03-14,2
2020-03-14,1
2020-03-14,6
